,代码,名称,concepts
0,688552,航天南湖,"央国企改革,沪股通,预亏预减,融资融券,低空经济,军工,专精特新,国家安防,"
1,600448,华纺股份,"C2M概念,抗菌面料,贬值受益,工业大麻,低价股,微盘股,央国企改革,参股银行,融资融券,"
2,605055,迎丰股份,"机构重仓,预盈预增,"
3,600575,淮河能源,"煤化工,央国企改革,一带一路,沪股通,融资融券,预盈预增,"
4,603610,麒盛科技,"贬值受益,婴童概念,电商概念,智能家居,养老概念,工业互联,传感器,鸿蒙概念,国产芯片,大数据,人脑工程,"
5,603657,春光科技,"预亏预减,专精特新,小米概念,"
6,603257,中国瑞林,
7,603332,苏州龙杰,"标准普尔,微盘股,预盈预增,军工,"
8,603912,佳力图,"转债标的,专精特新,华为概念,数据中心,东数西算,液冷概念,"
9,600156,华升股份,"贬值受益,参股券商,微盘股,央国企改革,医疗器械概念,"
10,603331,百达精工,"微盘股,预亏预减,新能源车,TOPCon电池,"
11,600530,交大昂立,"电商概念,参股券商,IPO受益,长江三角,养老概念,预盈预增,"
12,600396,华电辽能,"绿色电力,新能源,风能,低价股,央国企改革,东北振兴,氢能源,预盈预增,"
13,688737,中自科技,"固态电池,节能环保,尾气治理,西部大开发,氢能源,燃料电池,储能,预亏预减,融资融券,专精特新,"
14,688682,霍莱沃,"融资融券,商业航天,低空经济,军工,5G概念,专精特新,国产软件,"
15,605016,百龙创园,"代糖概念,沪股通,专精特新,"
16,600605,汇通能源,"长江三角,沪股通,预盈预增,内贸流通,"
17,605198,安德利,"AH股,节能环保,沪股通,"
18,603337,杰克股份,"标准普尔,富时罗素,沪股通,股权激励,预盈预增,"
19,688302,海创药业-U,"西部大开发,融资融券,预盈预增,"
20,600855,航天长峰,"央国企改革,医疗器械概念,沪股通,储能,融资融券,商业航天,低空经济,军工,国家安防,车联网(车路云),军民融合,物联网,人工智能,信创,"
21,603001,奥康国际,"C2M概念,破净股,电商概念,微盘股,新零售,跨境电商,预亏预减,"
22,603344,星德胜,"锂电池,机构重仓,融资融券,QFII重仓,机器人概念,小米概念,"
23,601368,绿城水务,"破净股,节能环保,新型城镇化,海绵城市,央国企改革,西部大开发,预盈预增,"
24,603038,华立股份,"并购重组概念,鸿蒙概念,大数据,"
25,688501,青达环保,"节能环保,机构重仓,融资融券,"
26,688375,国博电子,"央国企改革,中证500,沪股通,融资融券,军工,第三代半导体,5G概念,国产芯片,"
27,600726,华电能源,"低价股,AB股,央国企改革,沪股通,太阳能,预盈预增,"
28,600060,海信视像,"MSCI中国,标准普尔,中证500,上证380,沪股通,智能家居,融资融券,电子竞技,体育产业,LED,超清视频,元宇宙概念,国产芯片,"
29,603983,丸美生物,"化妆品概念,合成生物,富时罗素,沪股通,"
30,600696,*ST岩石,"白酒,电商概念,长江三角,机构重仓,预亏预减,融资融券,"
31,603677,奇精机械,"昨日连板,昨日连板_含一字,昨日涨停_含一字,昨日涨停,股权转让,央国企改革,新能源车,机器人概念,"
32,600107,ST尔雅,"湖北自贸,微盘股,天然气,参股期货,融资融券,预盈预增,"
33,603813,*ST原尚,"微盘股,氢能源,燃料电池,预亏预减,"
34,603828,ST柯利达,"昨日连板,昨日连板_含一字,昨日涨停_含一字,ST股,昨日涨停,PPP模式,股权激励,预盈预增,"
35,603007,*ST花王,"ST股,新型城镇化,PPP模式,海绵城市,标准普尔,预亏预减,"
36,603261,*ST立航,"微盘股,西部大开发,机构重仓,预亏预减,低空经济,军工,专精特新,无人机,可控核聚变,机器人概念,"
37,600678,四川金顶,"成渝特区,央国企改革,西部大开发,氢能源,预盈预增,新能源车,无人驾驶,"
38,600193,*ST创兴,"小金属概念,微盘股,稀土永磁,预亏预减,"
39,603389,*ST亚振,"培育钻石,微盘股,创投,预盈预增,首发经济,"
40,600630,龙头股份,"婴童概念,央国企改革,新零售,参股银行,跨境电商,网红经济,长江三角,机构重仓,沪企改革,融资融券,QFII重仓,上海自贸,进口博览,"
41,600753,*ST庚星,"煤化工,微盘股,预亏预减,内贸流通,换电概念,"
42,600165,ST宁科,"ST股,节能环保,参股银行,新材料,"
43,600345,长江通信,"标准普尔,央国企改革,沪股通,北斗导航,预亏预减,融资融券,商业航天,5G概念,人工智能,"
44,688287,*ST观典,"ST股,预亏预减,低空经济,军工,专精特新,国家安防,无人机,智慧城市,人工智能,大数据,"
